Linha,211
Tabela,003-2
num,ponto,horario
130088,BAIRRO COLINA VERDE,16:41
104407,TERMINAL CABRAL,17:09
130088,BAIRRO COLINA VERDE,17:34
104407,TERMINAL CABRAL,18:05
130088,BAIRRO COLINA VERDE,18:36
104407,TERMINAL CABRAL,19:05
130088,BAIRRO COLINA VERDE,19:27
104407,TERMINAL CABRAL,19:50
130088,BAIRRO COLINA VERDE,20:11
104407,TERMINAL CABRAL,20:34
130088,BAIRRO COLINA VERDE,20:56
104407,TERMINAL CABRAL,21:19
130088,BAIRRO COLINA VERDE,21:41
104407,TERMINAL CABRAL,22:04
130088,BAIRRO COLINA VERDE,22:24
104407,TERMINAL CABRAL,22:44
130088,BAIRRO COLINA VERDE,23:04
104407,TERMINAL CABRAL,23:24
130088,BAIRRO COLINA VERDE,23:42
104407,TERMINAL CABRAL,00:02
