Linha,211
Tabela,3
num,ponto,horario
104407,TERMINAL CABRAL,06:56
130088,BAIRRO COLINA VERDE,07:20
104407,TERMINAL CABRAL,07:43
130088,BAIRRO COLINA VERDE,08:10
104407,TERMINAL CABRAL,08:34
130088,BAIRRO COLINA VERDE,08:57
104407,TERMINAL CABRAL,09:21
130088,BAIRRO COLINA VERDE,09:43
104407,TERMINAL CABRAL,10:07
130088,BAIRRO COLINA VERDE,10:29
104407,TERMINAL CABRAL,10:53
130088,BAIRRO COLINA VERDE,11:15
104407,TERMINAL CABRAL,11:39
130088,BAIRRO COLINA VERDE,12:01
104407,TERMINAL CABRAL,12:25
130088,BAIRRO COLINA VERDE,12:48
104407,TERMINAL CABRAL,13:11
130088,BAIRRO COLINA VERDE,13:33
104407,TERMINAL CABRAL,13:57
130088,BAIRRO COLINA VERDE,14:19
104407,TERMINAL CABRAL,14:43
130088,BAIRRO COLINA VERDE,15:05
104407,TERMINAL CABRAL,15:29
130088,BAIRRO COLINA VERDE,15:53
104407,TERMINAL CABRAL,16:17
130088,BAIRRO COLINA VERDE,16:45
104407,TERMINAL CABRAL,17:13
130088,BAIRRO COLINA VERDE,17:37
104407,TERMINAL CABRAL,18:06
130088,BAIRRO COLINA VERDE,18:30
104407,TERMINAL CABRAL,19:00
