Linha,211
Tabela,002-2
num,ponto,horario
130088,BAIRRO COLINA VERDE,16:45
104407,TERMINAL CABRAL,17:12
130088,BAIRRO COLINA VERDE,17:38
104407,TERMINAL CABRAL,18:08
130088,BAIRRO COLINA VERDE,18:38
104407,TERMINAL CABRAL,19:08
130088,BAIRRO COLINA VERDE,19:37
104407,TERMINAL CABRAL,20:00
130088,BAIRRO COLINA VERDE,20:22
104407,TERMINAL CABRAL,20:43
130088,BAIRRO COLINA VERDE,21:03
104407,TERMINAL CABRAL,21:24
130088,BAIRRO COLINA VERDE,21:44
104407,TERMINAL CABRAL,22:04
130088,BAIRRO COLINA VERDE,22:24
104407,TERMINAL CABRAL,22:44
130088,BAIRRO COLINA VERDE,23:04
104407,TERMINAL CABRAL,23:24
130088,BAIRRO COLINA VERDE,23:44
104407,TERMINAL CABRAL,00:02
