Linha,011
Tabela,002-2
num,ponto,horario
140181,P.U.C. (SENTIDO ANTI-HORARIO),16:30
120104,PREFEITURA (SENT.ANTI-HORARIO),17:07
140181,P.U.C. (SENTIDO ANTI-HORARIO),18:13
120104,PREFEITURA (SENT.ANTI-HORARIO),18:48
140181,P.U.C. (SENTIDO ANTI-HORARIO),19:40
120104,PREFEITURA (SENT.ANTI-HORARIO),20:05
140181,P.U.C. (SENTIDO ANTI-HORARIO),20:40
120104,PREFEITURA (SENT.ANTI-HORARIO),21:05
140181,P.U.C. (SENTIDO ANTI-HORARIO),21:40
120104,PREFEITURA (SENT.ANTI-HORARIO),22:05
140181,P.U.C. (SENTIDO ANTI-HORARIO),22:40
120104,PREFEITURA (SENT.ANTI-HORARIO),23:05
140181,P.U.C. (SENTIDO ANTI-HORARIO),23:38
