Linha,386
Tabela,001-2
num,ponto,horario
103206,PRACA CARLOS GOMES,16:43
130253,UNIVERSIDADE DO ESPORTE,17:15
103206,PRACA CARLOS GOMES,17:50
130253,UNIVERSIDADE DO ESPORTE,18:25
103206,PRACA CARLOS GOMES,19:00
130253,UNIVERSIDADE DO ESPORTE,19:30
103206,PRACA CARLOS GOMES,20:00
130253,UNIVERSIDADE DO ESPORTE,20:30
103206,PRACA CARLOS GOMES,21:00
130253,UNIVERSIDADE DO ESPORTE,21:30
103206,PRACA CARLOS GOMES,22:00
130253,UNIVERSIDADE DO ESPORTE,22:30
103206,PRACA CARLOS GOMES,23:00
130253,UNIVERSIDADE DO ESPORTE,23:30
103206,PRACA CARLOS GOMES,00:00
