Linha,X42
Tabela,003
num,ponto,horario
104406,TERMINAL CABRAL,05:44
104703,TERMINAL CAPAO DA IMBUIA,06:20
104406,TERMINAL CABRAL,06:56
104703,TERMINAL CAPAO DA IMBUIA,07:32
104406,TERMINAL CABRAL,08:08
104703,TERMINAL CAPAO DA IMBUIA,08:44
104406,TERMINAL CABRAL,09:20
104703,TERMINAL CAPAO DA IMBUIA,09:56
104406,TERMINAL CABRAL,10:32
104703,TERMINAL CAPAO DA IMBUIA,11:08
104406,TERMINAL CABRAL,11:44
104703,TERMINAL CAPAO DA IMBUIA,12:20
104406,TERMINAL CABRAL,12:56
104703,TERMINAL CAPAO DA IMBUIA,13:32
104406,TERMINAL CABRAL,14:08
104703,TERMINAL CAPAO DA IMBUIA,14:44
104406,TERMINAL CABRAL,15:20
104703,TERMINAL CAPAO DA IMBUIA,15:56
104406,TERMINAL CABRAL,16:32
104703,TERMINAL CAPAO DA IMBUIA,17:08
104406,TERMINAL CABRAL,17:44
104703,TERMINAL CAPAO DA IMBUIA,18:20
104406,TERMINAL CABRAL,18:56
104703,TERMINAL CAPAO DA IMBUIA,19:32
104406,TERMINAL CABRAL,20:08
104703,TERMINAL CAPAO DA IMBUIA,20:44
104406,TERMINAL CABRAL,21:20
104703,TERMINAL CAPAO DA IMBUIA,21:56
104406,TERMINAL CABRAL,22:32
104703,TERMINAL CAPAO DA IMBUIA,23:08
104406,TERMINAL CABRAL,23:44
104703,TERMINAL CAPAO DA IMBUIA,00:20
