Linha,X42
Tabela,002
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,05:20
104406,TERMINAL CABRAL,05:50
104703,TERMINAL CAPAO DA IMBUIA,06:20
104406,TERMINAL CABRAL,06:50
104703,TERMINAL CAPAO DA IMBUIA,07:20
104406,TERMINAL CABRAL,07:50
104703,TERMINAL CAPAO DA IMBUIA,08:20
104406,TERMINAL CABRAL,08:50
104703,TERMINAL CAPAO DA IMBUIA,09:20
104406,TERMINAL CABRAL,09:50
104703,TERMINAL CAPAO DA IMBUIA,10:20
104406,TERMINAL CABRAL,10:50
104703,TERMINAL CAPAO DA IMBUIA,11:20
104406,TERMINAL CABRAL,11:50
104703,TERMINAL CAPAO DA IMBUIA,12:20
104406,TERMINAL CABRAL,12:50
104703,TERMINAL CAPAO DA IMBUIA,13:20
104406,TERMINAL CABRAL,13:50
104703,TERMINAL CAPAO DA IMBUIA,14:20
104406,TERMINAL CABRAL,14:50
104703,TERMINAL CAPAO DA IMBUIA,15:20
104406,TERMINAL CABRAL,15:50
104703,TERMINAL CAPAO DA IMBUIA,16:20
104406,TERMINAL CABRAL,16:50
104703,TERMINAL CAPAO DA IMBUIA,17:20
104406,TERMINAL CABRAL,17:50
104703,TERMINAL CAPAO DA IMBUIA,18:20
104406,TERMINAL CABRAL,18:50
104703,TERMINAL CAPAO DA IMBUIA,19:20
104406,TERMINAL CABRAL,19:50
104703,TERMINAL CAPAO DA IMBUIA,20:20
104406,TERMINAL CABRAL,20:50
104703,TERMINAL CAPAO DA IMBUIA,21:20
104406,TERMINAL CABRAL,21:50
104703,TERMINAL CAPAO DA IMBUIA,22:20
104406,TERMINAL CABRAL,22:50
104703,TERMINAL CAPAO DA IMBUIA,23:20
104406,TERMINAL CABRAL,23:50
104703,TERMINAL CAPAO DA IMBUIA,00:20
