Linha,020
Tabela,001-2
num,ponto,horario
105512,TERMINAL HAUER,16:46
104805,TERMINAL CAPAO RASO,17:08
104501,TERMINAL CAMPINA DO SIQUEIRA,17:42
104406,TERMINAL CABRAL,18:32
104706,TERMINAL CAPAO DA IMBUIA,19:10
105512,TERMINAL HAUER,19:29
104805,TERMINAL CAPAO RASO,19:50
104501,TERMINAL CAMPINA DO SIQUEIRA,20:15
104406,TERMINAL CABRAL,20:51
104706,TERMINAL CAPAO DA IMBUIA,21:13
105512,TERMINAL HAUER,21:32
104805,TERMINAL CAPAO RASO,21:52
104501,TERMINAL CAMPINA DO SIQUEIRA,22:17
104406,TERMINAL CABRAL,22:54
104706,TERMINAL CAPAO DA IMBUIA,23:17
105512,TERMINAL HAUER,23:37
104805,TERMINAL CAPAO RASO,23:57
