Linha,020
Tabela,007
num,ponto,horario
104501,TERMINAL CAMPINA DO SIQUEIRA,05:30
104406,TERMINAL CABRAL,06:12
104706,TERMINAL CAPAO DA IMBUIA,06:42
105512,TERMINAL HAUER,07:04
104805,TERMINAL CAPAO RASO,07:26
104501,TERMINAL CAMPINA DO SIQUEIRA,07:53
104406,TERMINAL CABRAL,08:35
104706,TERMINAL CAPAO DA IMBUIA,09:05
105512,TERMINAL HAUER,09:26
104805,TERMINAL CAPAO RASO,09:48
104501,TERMINAL CAMPINA DO SIQUEIRA,10:15
104406,TERMINAL CABRAL,10:55
104706,TERMINAL CAPAO DA IMBUIA,11:25
105512,TERMINAL HAUER,11:47
104805,TERMINAL CAPAO RASO,12:09
104501,TERMINAL CAMPINA DO SIQUEIRA,12:35
104406,TERMINAL CABRAL,13:15
104706,TERMINAL CAPAO DA IMBUIA,13:45
105512,TERMINAL HAUER,14:07
104805,TERMINAL CAPAO RASO,14:29
104501,TERMINAL CAMPINA DO SIQUEIRA,14:55
104406,TERMINAL CABRAL,15:35
104706,TERMINAL CAPAO DA IMBUIA,16:05
105512,TERMINAL HAUER,16:27
104805,TERMINAL CAPAO RASO,16:51
104501,TERMINAL CAMPINA DO SIQUEIRA,17:22
104406,TERMINAL CABRAL,18:07
104706,TERMINAL CAPAO DA IMBUIA,18:37
105512,TERMINAL HAUER,18:59
104805,TERMINAL CAPAO RASO,19:25
104501,TERMINAL CAMPINA DO SIQUEIRA,19:54
104406,TERMINAL CABRAL,20:29
104706,TERMINAL CAPAO DA IMBUIA,20:51
105512,TERMINAL HAUER,21:06
104805,TERMINAL CAPAO RASO,21:25
104501,TERMINAL CAMPINA DO SIQUEIRA,21:54
104406,TERMINAL CABRAL,22:30
104706,TERMINAL CAPAO DA IMBUIA,22:52
105512,TERMINAL HAUER,23:12
104805,TERMINAL CAPAO RASO,23:30
104501,TERMINAL CAMPINA DO SIQUEIRA,00:00
