Linha,020
Tabela,005-2
num,ponto,horario
104805,TERMINAL CAPAO RASO,16:01
104501,TERMINAL CAMPINA DO SIQUEIRA,16:34
104406,TERMINAL CABRAL,17:24
104706,TERMINAL CAPAO DA IMBUIA,17:56
105512,TERMINAL HAUER,18:21
104805,TERMINAL CAPAO RASO,18:49
104501,TERMINAL CAMPINA DO SIQUEIRA,19:21
104406,TERMINAL CABRAL,20:06
104706,TERMINAL CAPAO DA IMBUIA,20:29
105512,TERMINAL HAUER,20:49
104805,TERMINAL CAPAO RASO,21:09
104501,TERMINAL CAMPINA DO SIQUEIRA,21:34
104406,TERMINAL CABRAL,22:12
104706,TERMINAL CAPAO DA IMBUIA,22:34
105512,TERMINAL HAUER,22:54
104805,TERMINAL CAPAO RASO,23:14
104501,TERMINAL CAMPINA DO SIQUEIRA,23:39
104406,TERMINAL CABRAL,00:17
