Linha,020
Tabela,010
num,ponto,horario
104706,TERMINAL CAPAO DA IMBUIA,05:37
105512,TERMINAL HAUER,05:59
104805,TERMINAL CAPAO RASO,06:21
104501,TERMINAL CAMPINA DO SIQUEIRA,06:48
104406,TERMINAL CABRAL,07:30
104706,TERMINAL CAPAO DA IMBUIA,08:00
105512,TERMINAL HAUER,08:22
104805,TERMINAL CAPAO RASO,08:44
104501,TERMINAL CAMPINA DO SIQUEIRA,09:15
104406,TERMINAL CABRAL,09:55
104706,TERMINAL CAPAO DA IMBUIA,10:25
105512,TERMINAL HAUER,10:47
104805,TERMINAL CAPAO RASO,11:09
104501,TERMINAL CAMPINA DO SIQUEIRA,11:35
104406,TERMINAL CABRAL,12:15
104706,TERMINAL CAPAO DA IMBUIA,12:45
105512,TERMINAL HAUER,13:07
104805,TERMINAL CAPAO RASO,13:29
104501,TERMINAL CAMPINA DO SIQUEIRA,13:55
104406,TERMINAL CABRAL,14:35
104706,TERMINAL CAPAO DA IMBUIA,15:05
105512,TERMINAL HAUER,15:27
104805,TERMINAL CAPAO RASO,15:49
104501,TERMINAL CAMPINA DO SIQUEIRA,16:15
104406,TERMINAL CABRAL,16:57
104706,TERMINAL CAPAO DA IMBUIA,17:27
105512,TERMINAL HAUER,17:49
104805,TERMINAL CAPAO RASO,18:15
104501,TERMINAL CAMPINA DO SIQUEIRA,18:45
