Linha,020
Tabela,005
num,ponto,horario
104706,TERMINAL CAPAO DA IMBUIA,05:25
105512,TERMINAL HAUER,05:46
104805,TERMINAL CAPAO RASO,06:08
104501,TERMINAL CAMPINA DO SIQUEIRA,06:35
104406,TERMINAL CABRAL,07:17
104706,TERMINAL CAPAO DA IMBUIA,07:47
105512,TERMINAL HAUER,08:09
104805,TERMINAL CAPAO RASO,08:31
104501,TERMINAL CAMPINA DO SIQUEIRA,08:55
104406,TERMINAL CABRAL,09:35
104706,TERMINAL CAPAO DA IMBUIA,10:05
105512,TERMINAL HAUER,10:27
104805,TERMINAL CAPAO RASO,10:49
104501,TERMINAL CAMPINA DO SIQUEIRA,11:15
104406,TERMINAL CABRAL,11:55
104706,TERMINAL CAPAO DA IMBUIA,12:25
105512,TERMINAL HAUER,12:47
104805,TERMINAL CAPAO RASO,13:09
104501,TERMINAL CAMPINA DO SIQUEIRA,13:35
104406,TERMINAL CABRAL,14:15
104706,TERMINAL CAPAO DA IMBUIA,14:45
105512,TERMINAL HAUER,15:07
104805,TERMINAL CAPAO RASO,15:29
104501,TERMINAL CAMPINA DO SIQUEIRA,16:01
104406,TERMINAL CABRAL,16:43
104706,TERMINAL CAPAO DA IMBUIA,17:13
105512,TERMINAL HAUER,17:35
104805,TERMINAL CAPAO RASO,18:01
104501,TERMINAL CAMPINA DO SIQUEIRA,18:31
104406,TERMINAL CABRAL,19:17
104706,TERMINAL CAPAO DA IMBUIA,19:42
105512,TERMINAL HAUER,20:12
104805,TERMINAL CAPAO RASO,20:35
104501,TERMINAL CAMPINA DO SIQUEIRA,21:06
104406,TERMINAL CABRAL,21:41
104706,TERMINAL CAPAO DA IMBUIA,22:03
105512,TERMINAL HAUER,22:22
104805,TERMINAL CAPAO RASO,22:40
104501,TERMINAL CAMPINA DO SIQUEIRA,23:06
104406,TERMINAL CABRAL,23:45
104706,TERMINAL CAPAO DA IMBUIA,00:05
