Linha,876
Tabela,001-2
num,ponto,horario
101004,PRACA TIRADENTES,16:24
190069,BAIRRO SAVOIA,17:06
101168,PCA.TIRADENTES/RETIRO DOS PAD.,17:44
190917,BAIRRO RETIRO DOS PADRES,18:32
190069,BAIRRO SAVOIA,18:38
101168,PCA.TIRADENTES/RETIRO DOS PAD.,19:18
190917,BAIRRO RETIRO DOS PADRES,20:00
190069,BAIRRO SAVOIA,20:04
101004,PRACA TIRADENTES,20:36
190069,BAIRRO SAVOIA,21:08
101168,PCA.TIRADENTES/RETIRO DOS PAD.,21:36
190917,BAIRRO RETIRO DOS PADRES,22:07
190069,BAIRRO SAVOIA,22:10
101004,PRACA TIRADENTES,22:40
190069,BAIRRO SAVOIA,23:10
101004,PRACA TIRADENTES,23:40
