Linha,350
Tabela,005
num,ponto,horario
150899,TERMINAL PINHEIRINHO,06:04
130981,ESTACAO SOLAR,06:37
150899,TERMINAL PINHEIRINHO,07:10
130981,ESTACAO SOLAR,07:43
150899,TERMINAL PINHEIRINHO,08:17
130981,ESTACAO SOLAR,08:54
150899,TERMINAL PINHEIRINHO,09:31
130981,ESTACAO SOLAR,10:04
150899,TERMINAL PINHEIRINHO,10:37
130981,ESTACAO SOLAR,11:10
150899,TERMINAL PINHEIRINHO,11:43
130981,ESTACAO SOLAR,12:16
150899,TERMINAL PINHEIRINHO,12:49
130981,ESTACAO SOLAR,13:22
150899,TERMINAL PINHEIRINHO,13:55
130981,ESTACAO SOLAR,14:28
150899,TERMINAL PINHEIRINHO,15:01
130981,ESTACAO SOLAR,15:34
150899,TERMINAL PINHEIRINHO,16:06
130981,ESTACAO SOLAR,16:38
150899,TERMINAL PINHEIRINHO,17:13
130981,ESTACAO SOLAR,17:47
150899,TERMINAL PINHEIRINHO,18:22
130981,ESTACAO SOLAR,18:57
