Linha,350
Tabela,006
num,ponto,horario
150899,TERMINAL PINHEIRINHO,05:47
130993,ESTACAO ATUBA,06:24
150899,TERMINAL PINHEIRINHO,07:02
130993,ESTACAO ATUBA,07:39
150899,TERMINAL PINHEIRINHO,08:19
130993,ESTACAO ATUBA,08:58
150899,TERMINAL PINHEIRINHO,09:37
130993,ESTACAO ATUBA,10:15
150899,TERMINAL PINHEIRINHO,10:54
130993,ESTACAO ATUBA,11:32
150899,TERMINAL PINHEIRINHO,12:11
130993,ESTACAO ATUBA,12:49
150899,TERMINAL PINHEIRINHO,13:28
130993,ESTACAO ATUBA,14:06
150899,TERMINAL PINHEIRINHO,14:45
130993,ESTACAO ATUBA,15:23
150899,TERMINAL PINHEIRINHO,16:03
130993,ESTACAO ATUBA,16:42
150899,TERMINAL PINHEIRINHO,17:23
130993,ESTACAO ATUBA,18:02
150899,TERMINAL PINHEIRINHO,18:42
130993,ESTACAO ATUBA,19:22
