Linha,508
Tabela,001
num,ponto,horario
109677,TERMINAL PINHEIRINHO,05:48
109111,TERMINAL SITIO CERCADO,06:00
109104,TERMINAL BOQUEIRAO,06:12
109026,TERMINAL GUADALUPE,06:42
109677,TERMINAL PINHEIRINHO,07:12
109111,TERMINAL SITIO CERCADO,07:24
109104,TERMINAL BOQUEIRAO,07:36
109026,TERMINAL GUADALUPE,08:06
109677,TERMINAL PINHEIRINHO,08:36
109111,TERMINAL SITIO CERCADO,08:48
109104,TERMINAL BOQUEIRAO,09:01
109026,TERMINAL GUADALUPE,09:31
109677,TERMINAL PINHEIRINHO,10:01
109111,TERMINAL SITIO CERCADO,10:14
109104,TERMINAL BOQUEIRAO,10:27
109026,TERMINAL GUADALUPE,10:59
109677,TERMINAL PINHEIRINHO,11:33
109111,TERMINAL SITIO CERCADO,11:46
109104,TERMINAL BOQUEIRAO,12:00
109026,TERMINAL GUADALUPE,12:31
109677,TERMINAL PINHEIRINHO,13:05
109111,TERMINAL SITIO CERCADO,13:19
109104,TERMINAL BOQUEIRAO,13:33
109026,TERMINAL GUADALUPE,14:05
109677,TERMINAL PINHEIRINHO,14:37
