Linha,021
Tabela,012-1
num,ponto,horario
104405,TERMINAL CABRAL,06:54
104506,TERMINAL CAMPINA DO SIQUEIRA,07:36
104819,TERMINAL CAPAO RASO,08:03
105511,TERMINAL HAUER,08:25
104703,TERMINAL CAPAO DA IMBUIA,08:47
104405,TERMINAL CABRAL,09:12
104506,TERMINAL CAMPINA DO SIQUEIRA,09:53
104819,TERMINAL CAPAO RASO,10:22
105511,TERMINAL HAUER,10:47
104703,TERMINAL CAPAO DA IMBUIA,11:10
104405,TERMINAL CABRAL,11:41
104506,TERMINAL CAMPINA DO SIQUEIRA,12:23
104819,TERMINAL CAPAO RASO,12:51
105511,TERMINAL HAUER,13:14
104703,TERMINAL CAPAO DA IMBUIA,13:37
