Linha,021
Tabela,008-2
num,ponto,horario
104703,TERMINAL CAPAO DA IMBUIA,16:02
104405,TERMINAL CABRAL,16:30
104506,TERMINAL CAMPINA DO SIQUEIRA,17:18
104819,TERMINAL CAPAO RASO,17:56
105511,TERMINAL HAUER,18:24
104703,TERMINAL CAPAO DA IMBUIA,18:49
104405,TERMINAL CABRAL,19:18
104506,TERMINAL CAMPINA DO SIQUEIRA,19:54
104819,TERMINAL CAPAO RASO,20:18
105511,TERMINAL HAUER,20:41
104703,TERMINAL CAPAO DA IMBUIA,21:01
104405,TERMINAL CABRAL,21:25
104506,TERMINAL CAMPINA DO SIQUEIRA,22:00
104819,TERMINAL CAPAO RASO,22:24
105511,TERMINAL HAUER,22:46
104703,TERMINAL CAPAO DA IMBUIA,23:05
104405,TERMINAL CABRAL,23:27
104506,TERMINAL CAMPINA DO SIQUEIRA,00:00
