Linha,021
Tabela,015-1
num,ponto,horario
104819,TERMINAL CAPAO RASO,06:11
105511,TERMINAL HAUER,06:38
104703,TERMINAL CAPAO DA IMBUIA,07:03
104405,TERMINAL CABRAL,07:35
104506,TERMINAL CAMPINA DO SIQUEIRA,08:24
104819,TERMINAL CAPAO RASO,08:57
105511,TERMINAL HAUER,09:22
104703,TERMINAL CAPAO DA IMBUIA,09:44
104405,TERMINAL CABRAL,10:12
104506,TERMINAL CAMPINA DO SIQUEIRA,10:57
104819,TERMINAL CAPAO RASO,11:29
105511,TERMINAL HAUER,11:54
104703,TERMINAL CAPAO DA IMBUIA,12:17
104405,TERMINAL CABRAL,12:45
104506,TERMINAL CAMPINA DO SIQUEIRA,13:30
