Linha,021
Tabela,018-1
num,ponto,horario
104819,TERMINAL CAPAO RASO,06:47
105511,TERMINAL HAUER,07:15
104703,TERMINAL CAPAO DA IMBUIA,07:41
104405,TERMINAL CABRAL,08:14
104506,TERMINAL CAMPINA DO SIQUEIRA,09:04
104819,TERMINAL CAPAO RASO,09:37
105511,TERMINAL HAUER,10:02
104703,TERMINAL CAPAO DA IMBUIA,10:25
104405,TERMINAL CABRAL,10:53
104506,TERMINAL CAMPINA DO SIQUEIRA,11:38
104819,TERMINAL CAPAO RASO,12:10
105511,TERMINAL HAUER,12:35
104703,TERMINAL CAPAO DA IMBUIA,12:58
104405,TERMINAL CABRAL,13:26
104506,TERMINAL CAMPINA DO SIQUEIRA,14:11
