Linha,021
Tabela,016-1
num,ponto,horario
104405,TERMINAL CABRAL,07:33
104506,TERMINAL CAMPINA DO SIQUEIRA,08:22
104819,TERMINAL CAPAO RASO,08:52
105511,TERMINAL HAUER,09:17
104703,TERMINAL CAPAO DA IMBUIA,09:39
104405,TERMINAL CABRAL,10:06
104506,TERMINAL CAMPINA DO SIQUEIRA,10:51
104819,TERMINAL CAPAO RASO,11:23
105511,TERMINAL HAUER,11:48
104703,TERMINAL CAPAO DA IMBUIA,12:11
104405,TERMINAL CABRAL,12:39
104506,TERMINAL CAMPINA DO SIQUEIRA,13:24
104819,TERMINAL CAPAO RASO,13:56
105511,TERMINAL HAUER,14:21
104703,TERMINAL CAPAO DA IMBUIA,14:43
