Linha,021
Tabela,013-1
num,ponto,horario
104819,TERMINAL CAPAO RASO,06:45
105511,TERMINAL HAUER,07:07
104703,TERMINAL CAPAO DA IMBUIA,07:29
104405,TERMINAL CABRAL,07:59
104506,TERMINAL CAMPINA DO SIQUEIRA,08:41
104819,TERMINAL CAPAO RASO,09:12
105511,TERMINAL HAUER,09:35
104703,TERMINAL CAPAO DA IMBUIA,09:57
104405,TERMINAL CABRAL,10:27
104506,TERMINAL CAMPINA DO SIQUEIRA,11:09
104819,TERMINAL CAPAO RASO,11:37
105511,TERMINAL HAUER,11:59
104703,TERMINAL CAPAO DA IMBUIA,12:22
104405,TERMINAL CABRAL,12:53
104506,TERMINAL CAMPINA DO SIQUEIRA,13:35
