Linha,021
Tabela,003-2
num,ponto,horario
104819,TERMINAL CAPAO RASO,15:47
105511,TERMINAL HAUER,16:09
104703,TERMINAL CAPAO DA IMBUIA,16:34
104405,TERMINAL CABRAL,17:06
104506,TERMINAL CAMPINA DO SIQUEIRA,17:50
104819,TERMINAL CAPAO RASO,18:20
105511,TERMINAL HAUER,18:44
104703,TERMINAL CAPAO DA IMBUIA,19:08
104405,TERMINAL CABRAL,19:38
104506,TERMINAL CAMPINA DO SIQUEIRA,20:10
104819,TERMINAL CAPAO RASO,20:42
105511,TERMINAL HAUER,21:04
104703,TERMINAL CAPAO DA IMBUIA,21:26
104405,TERMINAL CABRAL,21:48
104506,TERMINAL CAMPINA DO SIQUEIRA,22:20
104819,TERMINAL CAPAO RASO,22:52
105511,TERMINAL HAUER,23:14
104703,TERMINAL CAPAO DA IMBUIA,23:38
104405,TERMINAL CABRAL,00:00
