Linha,021
Tabela,017-1
num,ponto,horario
104819,TERMINAL CAPAO RASO,05:15
105511,TERMINAL HAUER,05:39
104703,TERMINAL CAPAO DA IMBUIA,06:02
104405,TERMINAL CABRAL,06:30
104506,TERMINAL CAMPINA DO SIQUEIRA,07:17
104819,TERMINAL CAPAO RASO,07:51
105511,TERMINAL HAUER,08:19
104703,TERMINAL CAPAO DA IMBUIA,08:44
104405,TERMINAL CABRAL,09:12
104506,TERMINAL CAMPINA DO SIQUEIRA,10:00
104819,TERMINAL CAPAO RASO,10:32
105511,TERMINAL HAUER,10:57
104703,TERMINAL CAPAO DA IMBUIA,11:20
104405,TERMINAL CABRAL,11:48
104506,TERMINAL CAMPINA DO SIQUEIRA,12:33
