Linha,203
Tabela,005-2
num,ponto,horario
108024,ESTACAO TUBO CENTRAL/SUL,16:03
108036,ESTACAO TUBO BENTO VIANA/SUL,16:16
104801,TERMINAL CAPAO RASO,16:40
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:58
108023,ESTACAO TUBO CENTRAL/NORTE,17:10
104411,TERMINAL CABRAL/SENTIDO NORTE,17:21
105901,TERMINAL SANTA CANDIDA,17:42
104413,TERMINAL CABRAL/SENTIDO SUL,17:55
108024,ESTACAO TUBO CENTRAL/SUL,18:07
108036,ESTACAO TUBO BENTO VIANA/SUL,18:20
104801,TERMINAL CAPAO RASO,18:46
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:05
108023,ESTACAO TUBO CENTRAL/NORTE,19:18
104411,TERMINAL CABRAL/SENTIDO NORTE,19:30
105901,TERMINAL SANTA CANDIDA,19:52
104413,TERMINAL CABRAL/SENTIDO SUL,20:04
108024,ESTACAO TUBO CENTRAL/SUL,20:16
108036,ESTACAO TUBO BENTO VIANA/SUL,20:28
104801,TERMINAL CAPAO RASO,20:51
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:08
108023,ESTACAO TUBO CENTRAL/NORTE,21:20
104411,TERMINAL CABRAL/SENTIDO NORTE,21:30
105901,TERMINAL SANTA CANDIDA,21:47
104413,TERMINAL CABRAL/SENTIDO SUL,21:59
108024,ESTACAO TUBO CENTRAL/SUL,22:11
108036,ESTACAO TUBO BENTO VIANA/SUL,22:23
104801,TERMINAL CAPAO RASO,22:47
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:04
108023,ESTACAO TUBO CENTRAL/NORTE,23:15
104411,TERMINAL CABRAL/SENTIDO NORTE,23:25
105901,TERMINAL SANTA CANDIDA,23:41
104413,TERMINAL CABRAL/SENTIDO SUL,23:53
108024,ESTACAO TUBO CENTRAL/SUL,00:05
108036,ESTACAO TUBO BENTO VIANA/SUL,00:17
