Linha,203
Tabela,014
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,06:04
104413,TERMINAL CABRAL/SENTIDO SUL,06:16
108024,ESTACAO TUBO CENTRAL/SUL,06:28
108036,ESTACAO TUBO BENTO VIANA/SUL,06:41
104801,TERMINAL CAPAO RASO,07:04
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:22
108023,ESTACAO TUBO CENTRAL/NORTE,07:34
104411,TERMINAL CABRAL/SENTIDO NORTE,07:45
105901,TERMINAL SANTA CANDIDA,08:04
104413,TERMINAL CABRAL/SENTIDO SUL,08:18
108024,ESTACAO TUBO CENTRAL/SUL,08:31
108036,ESTACAO TUBO BENTO VIANA/SUL,08:45
104801,TERMINAL CAPAO RASO,09:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,09:26
108023,ESTACAO TUBO CENTRAL/NORTE,09:38
104411,TERMINAL CABRAL/SENTIDO NORTE,09:49
105901,TERMINAL SANTA CANDIDA,10:09
104413,TERMINAL CABRAL/SENTIDO SUL,10:22
108024,ESTACAO TUBO CENTRAL/SUL,10:34
108036,ESTACAO TUBO BENTO VIANA/SUL,10:47
104801,TERMINAL CAPAO RASO,11:10
108035,ESTACAO TUBO BENTO VIANA/NORTE,11:28
108023,ESTACAO TUBO CENTRAL/NORTE,11:40
104411,TERMINAL CABRAL/SENTIDO NORTE,11:51
105901,TERMINAL SANTA CANDIDA,12:11
104413,TERMINAL CABRAL/SENTIDO SUL,12:24
108024,ESTACAO TUBO CENTRAL/SUL,12:36
108036,ESTACAO TUBO BENTO VIANA/SUL,12:49
104801,TERMINAL CAPAO RASO,13:12
108035,ESTACAO TUBO BENTO VIANA/NORTE,13:30
108023,ESTACAO TUBO CENTRAL/NORTE,13:42
104411,TERMINAL CABRAL/SENTIDO NORTE,13:53
105901,TERMINAL SANTA CANDIDA,14:13
104413,TERMINAL CABRAL/SENTIDO SUL,14:26
108024,ESTACAO TUBO CENTRAL/SUL,14:38
108036,ESTACAO TUBO BENTO VIANA/SUL,14:51
104801,TERMINAL CAPAO RASO,15:14
108035,ESTACAO TUBO BENTO VIANA/NORTE,15:32
108023,ESTACAO TUBO CENTRAL/NORTE,15:44
104411,TERMINAL CABRAL/SENTIDO NORTE,15:55
105901,TERMINAL SANTA CANDIDA,16:15
104413,TERMINAL CABRAL/SENTIDO SUL,16:27
108024,ESTACAO TUBO CENTRAL/SUL,16:39
108036,ESTACAO TUBO BENTO VIANA/SUL,16:51
104801,TERMINAL CAPAO RASO,17:15
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:33
108023,ESTACAO TUBO CENTRAL/NORTE,17:45
104411,TERMINAL CABRAL/SENTIDO NORTE,17:56
105901,TERMINAL SANTA CANDIDA,18:17
104413,TERMINAL CABRAL/SENTIDO SUL,18:30
108024,ESTACAO TUBO CENTRAL/SUL,18:42
108036,ESTACAO TUBO BENTO VIANA/SUL,18:55
104801,TERMINAL CAPAO RASO,19:21
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:39
108023,ESTACAO TUBO CENTRAL/NORTE,19:51
104411,TERMINAL CABRAL/SENTIDO NORTE,20:02
