Linha,203
Tabela,009-2
num,ponto,horario
108024,ESTACAO TUBO CENTRAL/SUL,16:05
108036,ESTACAO TUBO BENTO VIANA/SUL,16:19
104801,TERMINAL CAPAO RASO,16:42
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:02
108023,ESTACAO TUBO CENTRAL/NORTE,17:15
104411,TERMINAL CABRAL/SENTIDO NORTE,17:26
105901,TERMINAL SANTA CANDIDA,17:44
104413,TERMINAL CABRAL/SENTIDO SUL,17:57
108024,ESTACAO TUBO CENTRAL/SUL,18:09
108036,ESTACAO TUBO BENTO VIANA/SUL,18:23
104801,TERMINAL CAPAO RASO,18:46
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:06
108023,ESTACAO TUBO CENTRAL/NORTE,19:19
104411,TERMINAL CABRAL/SENTIDO NORTE,19:30
105901,TERMINAL SANTA CANDIDA,19:50
104413,TERMINAL CABRAL/SENTIDO SUL,20:02
108024,ESTACAO TUBO CENTRAL/SUL,20:14
108036,ESTACAO TUBO BENTO VIANA/SUL,20:27
104801,TERMINAL CAPAO RASO,20:50
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:07
108023,ESTACAO TUBO CENTRAL/NORTE,21:19
104411,TERMINAL CABRAL/SENTIDO NORTE,21:29
105901,TERMINAL SANTA CANDIDA,21:47
104413,TERMINAL CABRAL/SENTIDO SUL,21:59
108024,ESTACAO TUBO CENTRAL/SUL,22:11
108036,ESTACAO TUBO BENTO VIANA/SUL,22:24
104801,TERMINAL CAPAO RASO,22:47
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:04
108023,ESTACAO TUBO CENTRAL/NORTE,23:16
104411,TERMINAL CABRAL/SENTIDO NORTE,23:26
105901,TERMINAL SANTA CANDIDA,23:43
104413,TERMINAL CABRAL/SENTIDO SUL,23:55
108024,ESTACAO TUBO CENTRAL/SUL,00:06
108036,ESTACAO TUBO BENTO VIANA/SUL,00:18
