Linha,203
Tabela,001-2
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,16:26
104413,TERMINAL CABRAL/SENTIDO SUL,16:39
108024,ESTACAO TUBO CENTRAL/SUL,16:51
108036,ESTACAO TUBO BENTO VIANA/SUL,17:05
104801,TERMINAL CAPAO RASO,17:28
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:48
108023,ESTACAO TUBO CENTRAL/NORTE,18:01
104411,TERMINAL CABRAL/SENTIDO NORTE,18:12
105901,TERMINAL SANTA CANDIDA,18:32
104413,TERMINAL CABRAL/SENTIDO SUL,18:45
108024,ESTACAO TUBO CENTRAL/SUL,18:58
108036,ESTACAO TUBO BENTO VIANA/SUL,19:12
104801,TERMINAL CAPAO RASO,19:35
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:53
108023,ESTACAO TUBO CENTRAL/NORTE,20:06
104411,TERMINAL CABRAL/SENTIDO NORTE,20:17
