Linha,203
Tabela,010-1
num,ponto,horario
104801,TERMINAL CAPAO RASO,05:50
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:08
108023,ESTACAO TUBO CENTRAL/NORTE,06:20
104411,TERMINAL CABRAL/SENTIDO NORTE,06:31
105901,TERMINAL SANTA CANDIDA,06:50
104413,TERMINAL CABRAL/SENTIDO SUL,07:02
108024,ESTACAO TUBO CENTRAL/SUL,07:14
108036,ESTACAO TUBO BENTO VIANA/SUL,07:28
104801,TERMINAL CAPAO RASO,07:51
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:09
108023,ESTACAO TUBO CENTRAL/NORTE,08:21
104411,TERMINAL CABRAL/SENTIDO NORTE,08:32
