Linha,203
Tabela,12-2
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,16:26
104413,TERMINAL CABRAL/SENTIDO SUL,16:39
108024,ESTACAO TUBO CENTRAL/SUL,16:51
108036,ESTACAO TUBO BENTO VIANA/SUL,17:05
104801,TERMINAL CAPAO RASO,17:30
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:50
108023,ESTACAO TUBO CENTRAL/NORTE,18:03
104411,TERMINAL CABRAL/SENTIDO NORTE,18:14
105901,TERMINAL SANTA CANDIDA,18:32
104413,TERMINAL CABRAL/SENTIDO SUL,18:45
108024,ESTACAO TUBO CENTRAL/SUL,18:58
108036,ESTACAO TUBO BENTO VIANA/SUL,19:12
104801,TERMINAL CAPAO RASO,19:35
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:53
108023,ESTACAO TUBO CENTRAL/NORTE,20:06
104411,TERMINAL CABRAL/SENTIDO NORTE,20:17
105901,TERMINAL SANTA CANDIDA,20:35
104413,TERMINAL CABRAL/SENTIDO SUL,20:48
108024,ESTACAO TUBO CENTRAL/SUL,21:00
108036,ESTACAO TUBO BENTO VIANA/SUL,21:13
104801,TERMINAL CAPAO RASO,21:36
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:54
108023,ESTACAO TUBO CENTRAL/NORTE,22:07
104411,TERMINAL CABRAL/SENTIDO NORTE,22:18
105901,TERMINAL SANTA CANDIDA,22:36
104413,TERMINAL CABRAL/SENTIDO SUL,22:48
108024,ESTACAO TUBO CENTRAL/SUL,23:01
108036,ESTACAO TUBO BENTO VIANA/SUL,23:14
104801,TERMINAL CAPAO RASO,23:38
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:56
108023,ESTACAO TUBO CENTRAL/NORTE,00:08
104411,TERMINAL CABRAL/SENTIDO NORTE,00:18
