Linha,203
Tabela,20-2
num,ponto,horario
104801,TERMINAL CAPAO RASO,16:12
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:32
108023,ESTACAO TUBO CENTRAL/NORTE,16:45
104411,TERMINAL CABRAL/SENTIDO NORTE,16:56
105901,TERMINAL SANTA CANDIDA,17:14
104413,TERMINAL CABRAL/SENTIDO SUL,17:27
108024,ESTACAO TUBO CENTRAL/SUL,17:39
108036,ESTACAO TUBO BENTO VIANA/SUL,17:53
104801,TERMINAL CAPAO RASO,18:18
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:38
108023,ESTACAO TUBO CENTRAL/NORTE,18:51
104411,TERMINAL CABRAL/SENTIDO NORTE,19:02
105901,TERMINAL SANTA CANDIDA,19:21
104413,TERMINAL CABRAL/SENTIDO SUL,19:34
108024,ESTACAO TUBO CENTRAL/SUL,19:46
108036,ESTACAO TUBO BENTO VIANA/SUL,20:00
