Linha,203
Tabela,1
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,05:12
104413,TERMINAL CABRAL/SENTIDO SUL,05:24
108024,ESTACAO TUBO CENTRAL/SUL,05:36
108036,ESTACAO TUBO BENTO VIANA/SUL,05:48
104801,TERMINAL CAPAO RASO,06:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:26
108023,ESTACAO TUBO CENTRAL/NORTE,06:38
104411,TERMINAL CABRAL/SENTIDO NORTE,06:49
105901,TERMINAL SANTA CANDIDA,07:06
104413,TERMINAL CABRAL/SENTIDO SUL,07:19
108024,ESTACAO TUBO CENTRAL/SUL,07:32
108036,ESTACAO TUBO BENTO VIANA/SUL,07:46
104801,TERMINAL CAPAO RASO,08:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:27
108023,ESTACAO TUBO CENTRAL/NORTE,08:39
104411,TERMINAL CABRAL/SENTIDO NORTE,08:50
105901,TERMINAL SANTA CANDIDA,09:11
104413,TERMINAL CABRAL/SENTIDO SUL,09:24
108024,ESTACAO TUBO CENTRAL/SUL,09:36
108036,ESTACAO TUBO BENTO VIANA/SUL,09:50
104801,TERMINAL CAPAO RASO,10:13
108035,ESTACAO TUBO BENTO VIANA/NORTE,10:32
108023,ESTACAO TUBO CENTRAL/NORTE,10:44
104411,TERMINAL CABRAL/SENTIDO NORTE,10:55
105901,TERMINAL SANTA CANDIDA,11:14
104413,TERMINAL CABRAL/SENTIDO SUL,11:27
108024,ESTACAO TUBO CENTRAL/SUL,11:39
108036,ESTACAO TUBO BENTO VIANA/SUL,11:53
104801,TERMINAL CAPAO RASO,12:16
108035,ESTACAO TUBO BENTO VIANA/NORTE,12:35
108023,ESTACAO TUBO CENTRAL/NORTE,12:47
104411,TERMINAL CABRAL/SENTIDO NORTE,12:58
105901,TERMINAL SANTA CANDIDA,13:17
104413,TERMINAL CABRAL/SENTIDO SUL,13:30
108024,ESTACAO TUBO CENTRAL/SUL,13:42
108036,ESTACAO TUBO BENTO VIANA/SUL,13:56
104801,TERMINAL CAPAO RASO,14:19
108035,ESTACAO TUBO BENTO VIANA/NORTE,14:38
108023,ESTACAO TUBO CENTRAL/NORTE,14:50
104411,TERMINAL CABRAL/SENTIDO NORTE,15:01
105901,TERMINAL SANTA CANDIDA,15:20
104413,TERMINAL CABRAL/SENTIDO SUL,15:33
108024,ESTACAO TUBO CENTRAL/SUL,15:46
108036,ESTACAO TUBO BENTO VIANA/SUL,16:00
104801,TERMINAL CAPAO RASO,16:24
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:44
108023,ESTACAO TUBO CENTRAL/NORTE,16:57
104411,TERMINAL CABRAL/SENTIDO NORTE,17:08
105901,TERMINAL SANTA CANDIDA,17:26
104413,TERMINAL CABRAL/SENTIDO SUL,17:39
108024,ESTACAO TUBO CENTRAL/SUL,17:51
108036,ESTACAO TUBO BENTO VIANA/SUL,18:05
104801,TERMINAL CAPAO RASO,18:30
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:50
108023,ESTACAO TUBO CENTRAL/NORTE,19:03
104411,TERMINAL CABRAL/SENTIDO NORTE,19:14
