Linha,203
Tabela,006-1
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,05:32
104413,TERMINAL CABRAL/SENTIDO SUL,05:44
108024,ESTACAO TUBO CENTRAL/SUL,05:56
108036,ESTACAO TUBO BENTO VIANA/SUL,06:07
104801,TERMINAL CAPAO RASO,06:29
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:47
108023,ESTACAO TUBO CENTRAL/NORTE,06:59
104411,TERMINAL CABRAL/SENTIDO NORTE,07:10
105901,TERMINAL SANTA CANDIDA,07:29
104413,TERMINAL CABRAL/SENTIDO SUL,07:43
108024,ESTACAO TUBO CENTRAL/SUL,07:55
108036,ESTACAO TUBO BENTO VIANA/SUL,08:09
104801,TERMINAL CAPAO RASO,08:32
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:51
108023,ESTACAO TUBO CENTRAL/NORTE,09:03
104411,TERMINAL CABRAL/SENTIDO NORTE,09:14
