Linha,203
Tabela,7-2
num,ponto,horario
108024,ESTACAO TUBO CENTRAL/SUL,16:22
108036,ESTACAO TUBO BENTO VIANA/SUL,16:36
104801,TERMINAL CAPAO RASO,17:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:20
108023,ESTACAO TUBO CENTRAL/NORTE,17:33
104411,TERMINAL CABRAL/SENTIDO NORTE,17:44
105901,TERMINAL SANTA CANDIDA,18:02
104413,TERMINAL CABRAL/SENTIDO SUL,18:15
108024,ESTACAO TUBO CENTRAL/SUL,18:27
108036,ESTACAO TUBO BENTO VIANA/SUL,18:41
104801,TERMINAL CAPAO RASO,19:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:28
108023,ESTACAO TUBO CENTRAL/NORTE,19:41
104411,TERMINAL CABRAL/SENTIDO NORTE,19:52
105901,TERMINAL SANTA CANDIDA,20:13
104413,TERMINAL CABRAL/SENTIDO SUL,20:26
108024,ESTACAO TUBO CENTRAL/SUL,20:38
108036,ESTACAO TUBO BENTO VIANA/SUL,20:51
104801,TERMINAL CAPAO RASO,21:14
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:32
108023,ESTACAO TUBO CENTRAL/NORTE,21:45
104411,TERMINAL CABRAL/SENTIDO NORTE,21:56
105901,TERMINAL SANTA CANDIDA,22:14
104413,TERMINAL CABRAL/SENTIDO SUL,22:26
108024,ESTACAO TUBO CENTRAL/SUL,22:39
108036,ESTACAO TUBO BENTO VIANA/SUL,22:52
104801,TERMINAL CAPAO RASO,23:14
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:32
108023,ESTACAO TUBO CENTRAL/NORTE,23:45
104411,TERMINAL CABRAL/SENTIDO NORTE,23:56
