Linha,203
Tabela,004-2
num,ponto,horario
104801,TERMINAL CAPAO RASO,16:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:18
108023,ESTACAO TUBO CENTRAL/NORTE,16:30
104411,TERMINAL CABRAL/SENTIDO NORTE,16:41
105901,TERMINAL SANTA CANDIDA,17:01
104413,TERMINAL CABRAL/SENTIDO SUL,17:14
108024,ESTACAO TUBO CENTRAL/SUL,17:26
108036,ESTACAO TUBO BENTO VIANA/SUL,17:39
104801,TERMINAL CAPAO RASO,18:05
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:24
108023,ESTACAO TUBO CENTRAL/NORTE,18:37
104411,TERMINAL CABRAL/SENTIDO NORTE,18:48
105901,TERMINAL SANTA CANDIDA,19:10
104413,TERMINAL CABRAL/SENTIDO SUL,19:23
108024,ESTACAO TUBO CENTRAL/SUL,19:35
108036,ESTACAO TUBO BENTO VIANA/SUL,19:48
104801,TERMINAL CAPAO RASO,20:11
108035,ESTACAO TUBO BENTO VIANA/NORTE,20:28
108023,ESTACAO TUBO CENTRAL/NORTE,20:40
104411,TERMINAL CABRAL/SENTIDO NORTE,20:50
105901,TERMINAL SANTA CANDIDA,21:10
104413,TERMINAL CABRAL/SENTIDO SUL,21:22
108024,ESTACAO TUBO CENTRAL/SUL,21:34
108036,ESTACAO TUBO BENTO VIANA/SUL,21:45
104801,TERMINAL CAPAO RASO,22:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,22:25
108023,ESTACAO TUBO CENTRAL/NORTE,22:37
104411,TERMINAL CABRAL/SENTIDO NORTE,22:47
105901,TERMINAL SANTA CANDIDA,23:08
104413,TERMINAL CABRAL/SENTIDO SUL,23:20
108024,ESTACAO TUBO CENTRAL/SUL,23:32
108036,ESTACAO TUBO BENTO VIANA/SUL,23:43
