Linha,203
Tabela,003-1
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,05:21
104413,TERMINAL CABRAL/SENTIDO SUL,05:33
108024,ESTACAO TUBO CENTRAL/SUL,05:45
108036,ESTACAO TUBO BENTO VIANA/SUL,05:58
104801,TERMINAL CAPAO RASO,06:21
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:39
108023,ESTACAO TUBO CENTRAL/NORTE,06:51
104411,TERMINAL CABRAL/SENTIDO NORTE,07:02
105901,TERMINAL SANTA CANDIDA,07:20
104413,TERMINAL CABRAL/SENTIDO SUL,07:32
108024,ESTACAO TUBO CENTRAL/SUL,07:44
108036,ESTACAO TUBO BENTO VIANA/SUL,07:58
104801,TERMINAL CAPAO RASO,08:20
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:38
108023,ESTACAO TUBO CENTRAL/NORTE,08:50
104411,TERMINAL CABRAL/SENTIDO NORTE,09:01
