Linha,203
Tabela,006-2
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,15:48
104413,TERMINAL CABRAL/SENTIDO SUL,16:01
108024,ESTACAO TUBO CENTRAL/SUL,16:13
108036,ESTACAO TUBO BENTO VIANA/SUL,16:26
104801,TERMINAL CAPAO RASO,16:49
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:07
108023,ESTACAO TUBO CENTRAL/NORTE,17:19
104411,TERMINAL CABRAL/SENTIDO NORTE,17:30
105901,TERMINAL SANTA CANDIDA,17:50
104413,TERMINAL CABRAL/SENTIDO SUL,18:03
108024,ESTACAO TUBO CENTRAL/SUL,18:15
108036,ESTACAO TUBO BENTO VIANA/SUL,18:28
104801,TERMINAL CAPAO RASO,18:54
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:13
108023,ESTACAO TUBO CENTRAL/NORTE,19:26
104411,TERMINAL CABRAL/SENTIDO NORTE,19:37
