Linha,203
Tabela,010-2
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,16:48
104413,TERMINAL CABRAL/SENTIDO SUL,17:01
108024,ESTACAO TUBO CENTRAL/SUL,17:13
108036,ESTACAO TUBO BENTO VIANA/SUL,17:26
104801,TERMINAL CAPAO RASO,17:52
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:11
108023,ESTACAO TUBO CENTRAL/NORTE,18:23
104411,TERMINAL CABRAL/SENTIDO NORTE,18:34
105901,TERMINAL SANTA CANDIDA,18:56
104413,TERMINAL CABRAL/SENTIDO SUL,19:09
108024,ESTACAO TUBO CENTRAL/SUL,19:21
108036,ESTACAO TUBO BENTO VIANA/SUL,19:34
104801,TERMINAL CAPAO RASO,19:58
108035,ESTACAO TUBO BENTO VIANA/NORTE,20:15
108023,ESTACAO TUBO CENTRAL/NORTE,20:27
104411,TERMINAL CABRAL/SENTIDO NORTE,20:37
105901,TERMINAL SANTA CANDIDA,20:57
104413,TERMINAL CABRAL/SENTIDO SUL,21:09
108024,ESTACAO TUBO CENTRAL/SUL,21:21
108036,ESTACAO TUBO BENTO VIANA/SUL,21:32
104801,TERMINAL CAPAO RASO,21:55
108035,ESTACAO TUBO BENTO VIANA/NORTE,22:12
108023,ESTACAO TUBO CENTRAL/NORTE,22:24
104411,TERMINAL CABRAL/SENTIDO NORTE,22:34
105901,TERMINAL SANTA CANDIDA,22:54
104413,TERMINAL CABRAL/SENTIDO SUL,23:06
108024,ESTACAO TUBO CENTRAL/SUL,23:18
108036,ESTACAO TUBO BENTO VIANA/SUL,23:29
104801,TERMINAL CAPAO RASO,23:52
108035,ESTACAO TUBO BENTO VIANA/NORTE,00:08
108023,ESTACAO TUBO CENTRAL/NORTE,00:18
104411,TERMINAL CABRAL/SENTIDO NORTE,00:28
