Linha,203
Tabela,018-2
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,16:20
104413,TERMINAL CABRAL/SENTIDO SUL,16:33
108024,ESTACAO TUBO CENTRAL/SUL,16:45
108036,ESTACAO TUBO BENTO VIANA/SUL,16:58
104801,TERMINAL CAPAO RASO,17:23
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:42
108023,ESTACAO TUBO CENTRAL/NORTE,17:54
104411,TERMINAL CABRAL/SENTIDO NORTE,18:05
105901,TERMINAL SANTA CANDIDA,18:25
104413,TERMINAL CABRAL/SENTIDO SUL,18:38
108024,ESTACAO TUBO CENTRAL/SUL,18:50
108036,ESTACAO TUBO BENTO VIANA/SUL,19:03
104801,TERMINAL CAPAO RASO,19:29
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:48
108023,ESTACAO TUBO CENTRAL/NORTE,20:00
104411,TERMINAL CABRAL/SENTIDO NORTE,20:11
105901,TERMINAL SANTA CANDIDA,20:31
104413,TERMINAL CABRAL/SENTIDO SUL,20:43
108024,ESTACAO TUBO CENTRAL/SUL,20:55
108036,ESTACAO TUBO BENTO VIANA/SUL,21:06
104801,TERMINAL CAPAO RASO,21:29
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:46
108023,ESTACAO TUBO CENTRAL/NORTE,21:58
104411,TERMINAL CABRAL/SENTIDO NORTE,22:08
105901,TERMINAL SANTA CANDIDA,22:28
104413,TERMINAL CABRAL/SENTIDO SUL,22:40
108024,ESTACAO TUBO CENTRAL/SUL,22:52
108036,ESTACAO TUBO BENTO VIANA/SUL,23:03
104801,TERMINAL CAPAO RASO,23:26
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:43
108023,ESTACAO TUBO CENTRAL/NORTE,23:54
104411,TERMINAL CABRAL/SENTIDO NORTE,00:04
