Linha,203
Tabela,009-1
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,05:46
104413,TERMINAL CABRAL/SENTIDO SUL,05:58
108024,ESTACAO TUBO CENTRAL/SUL,06:10
108036,ESTACAO TUBO BENTO VIANA/SUL,06:23
104801,TERMINAL CAPAO RASO,06:45
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:04
108023,ESTACAO TUBO CENTRAL/NORTE,07:16
104411,TERMINAL CABRAL/SENTIDO NORTE,07:27
105901,TERMINAL SANTA CANDIDA,07:46
104413,TERMINAL CABRAL/SENTIDO SUL,07:59
108024,ESTACAO TUBO CENTRAL/SUL,08:11
108036,ESTACAO TUBO BENTO VIANA/SUL,08:24
104801,TERMINAL CAPAO RASO,08:46
108035,ESTACAO TUBO BENTO VIANA/NORTE,09:05
108023,ESTACAO TUBO CENTRAL/NORTE,09:17
104411,TERMINAL CABRAL/SENTIDO NORTE,09:28
