Linha,828
Tabela,001
num,ponto,horario
104613,TERMINAL CAMPO COMPRIDO,05:24
105308,T.FAZENDINHA SENTIDO T.C.RASO,05:48
104810,TERMINAL CAPAO RASO,06:05
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,06:17
104613,TERMINAL CAMPO COMPRIDO,06:42
105308,T.FAZENDINHA SENTIDO T.C.RASO,07:06
104810,TERMINAL CAPAO RASO,07:22
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,07:35
104613,TERMINAL CAMPO COMPRIDO,08:02
105308,T.FAZENDINHA SENTIDO T.C.RASO,08:26
104810,TERMINAL CAPAO RASO,08:43
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,08:56
104613,TERMINAL CAMPO COMPRIDO,09:23
105308,T.FAZENDINHA SENTIDO T.C.RASO,09:49
104810,TERMINAL CAPAO RASO,10:06
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,10:19
104613,TERMINAL CAMPO COMPRIDO,10:47
105308,T.FAZENDINHA SENTIDO T.C.RASO,11:13
104810,TERMINAL CAPAO RASO,11:30
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,11:45
104613,TERMINAL CAMPO COMPRIDO,12:13
105308,T.FAZENDINHA SENTIDO T.C.RASO,12:40
104810,TERMINAL CAPAO RASO,12:57
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,13:12
104613,TERMINAL CAMPO COMPRIDO,13:40
105308,T.FAZENDINHA SENTIDO T.C.RASO,14:07
104810,TERMINAL CAPAO RASO,14:24
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,14:41
104613,TERMINAL CAMPO COMPRIDO,15:09
105308,T.FAZENDINHA SENTIDO T.C.RASO,15:37
104810,TERMINAL CAPAO RASO,15:54
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,16:11
104613,TERMINAL CAMPO COMPRIDO,16:39
105308,T.FAZENDINHA SENTIDO T.C.RASO,17:07
104810,TERMINAL CAPAO RASO,17:24
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,17:41
104613,TERMINAL CAMPO COMPRIDO,18:09
105308,T.FAZENDINHA SENTIDO T.C.RASO,18:37
104810,TERMINAL CAPAO RASO,18:54
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,19:11
104613,TERMINAL CAMPO COMPRIDO,19:39
105308,T.FAZENDINHA SENTIDO T.C.RASO,20:07
104810,TERMINAL CAPAO RASO,20:23
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,20:36
104613,TERMINAL CAMPO COMPRIDO,21:03
105308,T.FAZENDINHA SENTIDO T.C.RASO,21:28
104810,TERMINAL CAPAO RASO,21:44
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,21:57
104613,TERMINAL CAMPO COMPRIDO,22:24
105308,T.FAZENDINHA SENTIDO T.C.RASO,22:49
104810,TERMINAL CAPAO RASO,23:05
105315,T.FAZENDINHA SENT.T.C.COMPRIDO,23:18
104613,TERMINAL CAMPO COMPRIDO,23:45
105308,T.FAZENDINHA SENTIDO T.C.RASO,00:08
