Linha,303
Tabela,011-2
num,ponto,horario
104601,TERMINAL CAMPO COMPRIDO,16:38
108169,ESTACAO TUBO R. BARBOSA/LESTE,17:05
105101,TERMINAL CENTENARIO,17:40
108030,ESTACAO TUBO R.BARBOSA/OESTE,18:14
104601,TERMINAL CAMPO COMPRIDO,18:45
108169,ESTACAO TUBO R. BARBOSA/LESTE,19:12
105101,TERMINAL CENTENARIO,19:48
108030,ESTACAO TUBO R.BARBOSA/OESTE,20:21
104601,TERMINAL CAMPO COMPRIDO,20:53
108169,ESTACAO TUBO R. BARBOSA/LESTE,21:20
105101,TERMINAL CENTENARIO,21:54
108030,ESTACAO TUBO R.BARBOSA/OESTE,22:24
104601,TERMINAL CAMPO COMPRIDO,22:53
108169,ESTACAO TUBO R. BARBOSA/LESTE,23:19
105101,TERMINAL CENTENARIO,23:52
108030,ESTACAO TUBO R.BARBOSA/OESTE,00:20
