Linha,700
Tabela,005-2
num,ponto,horario
109085,TERMINAL CABRAL,15:29
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,15:43
105706,TERMINAL PINHEIRINHO,16:22
109017,E.T. CIRCULO MILITAR / CABRAL,17:00
109085,TERMINAL CABRAL,17:18
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:33
105706,TERMINAL PINHEIRINHO,18:16
109017,E.T. CIRCULO MILITAR / CABRAL,18:54
109085,TERMINAL CABRAL,19:15
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,19:27
105706,TERMINAL PINHEIRINHO,19:58
109017,E.T. CIRCULO MILITAR / CABRAL,20:28
109085,TERMINAL CABRAL,20:43
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,20:55
105706,TERMINAL PINHEIRINHO,21:26
109017,E.T. CIRCULO MILITAR / CABRAL,21:56
109085,TERMINAL CABRAL,22:11
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,22:23
105706,TERMINAL PINHEIRINHO,22:54
109017,E.T. CIRCULO MILITAR / CABRAL,23:24
109085,TERMINAL CABRAL,23:40
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,23:52
