Linha,700
Tabela,001-2
num,ponto,horario
105706,TERMINAL PINHEIRINHO,16:40
109018,E.T. CIRCULO MILITAR / CABRAL,17:23
109085,TERMINAL CABRAL,17:40
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:57
105706,TERMINAL PINHEIRINHO,18:42
109018,E.T. CIRCULO MILITAR / CABRAL,19:22
109085,TERMINAL CABRAL,19:38
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,19:53
105706,TERMINAL PINHEIRINHO,20:22
109018,E.T. CIRCULO MILITAR / CABRAL,20:54
109085,TERMINAL CABRAL,21:09
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,21:23
105706,TERMINAL PINHEIRINHO,21:54
109018,E.T. CIRCULO MILITAR / CABRAL,22:24
109085,TERMINAL CABRAL,22:37
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,22:50
105706,TERMINAL PINHEIRINHO,23:21
109018,E.T. CIRCULO MILITAR / CABRAL,23:51
109085,TERMINAL CABRAL,00:03
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,00:15
