Linha,X35
Tabela,004-2
num,ponto,horario
105706,TERMINAL PINHEIRINHO,16:39
109058,ESTACAO TUBO PREFEITURA,17:36
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:44
