Linha,X35
Tabela,006-1
num,ponto,horario
105706,TERMINAL PINHEIRINHO,06:47
109058,ESTACAO TUBO PREFEITURA,07:28
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,07:36
105706,TERMINAL PINHEIRINHO,08:11
