Linha,X35
Tabela,002-2
num,ponto,horario
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,16:08
105706,TERMINAL PINHEIRINHO,16:52
109058,ESTACAO TUBO PREFEITURA,17:47
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:55
