Linha,X35
Tabela,004-1
num,ponto,horario
105706,TERMINAL PINHEIRINHO,06:19
109058,ESTACAO TUBO PREFEITURA,07:00
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,07:08
105706,TERMINAL PINHEIRINHO,07:43
