Linha,817
Tabela,001-2
num,ponto,horario
104503,TERMINAL CAMPINA DO SIQUEIRA,16:18
106016,TERMINAL SANTA FELICIDADE,16:59
104503,TERMINAL CAMPINA DO SIQUEIRA,17:44
106016,TERMINAL SANTA FELICIDADE,18:30
104503,TERMINAL CAMPINA DO SIQUEIRA,19:15
106016,TERMINAL SANTA FELICIDADE,19:50
104503,TERMINAL CAMPINA DO SIQUEIRA,20:25
106016,TERMINAL SANTA FELICIDADE,21:00
104503,TERMINAL CAMPINA DO SIQUEIRA,21:35
106016,TERMINAL SANTA FELICIDADE,22:09
104503,TERMINAL CAMPINA DO SIQUEIRA,22:43
106016,TERMINAL SANTA FELICIDADE,23:17
104503,TERMINAL CAMPINA DO SIQUEIRA,23:51
