Linha,860
Tabela,005-2
num,ponto,horario
102031,PRACA RUI BARBOSA,15:57
180567,BAIRRO VILA SANDRA,16:41
102031,PRACA RUI BARBOSA,17:27
180567,BAIRRO VILA SANDRA,18:19
102031,PRACA RUI BARBOSA,19:01
180567,BAIRRO VILA SANDRA,19:41
102031,PRACA RUI BARBOSA,20:13
180567,BAIRRO VILA SANDRA,20:47
102031,PRACA RUI BARBOSA,21:18
180567,BAIRRO VILA SANDRA,21:52
102031,PRACA RUI BARBOSA,22:22
180567,BAIRRO VILA SANDRA,22:56
102031,PRACA RUI BARBOSA,23:24
180567,BAIRRO VILA SANDRA,23:52
102031,PRACA RUI BARBOSA,00:17
