Linha,628
Tabela,002-3
num,ponto,horario
105212,TERMINAL CIC/SENT.CAPAO RASO,16:04
104806,TERMINAL CAPAO RASO,16:22
105205,TERMINAL CIC/BOSCH VILA VERDE,16:37
170369,BAIRRO CARBOMAFRA,17:01
105212,TERMINAL CIC/SENT.CAPAO RASO,17:30
104806,TERMINAL CAPAO RASO,17:48
105205,TERMINAL CIC/BOSCH VILA VERDE,18:02
170369,BAIRRO CARBOMAFRA,18:29
105212,TERMINAL CIC/SENT.CAPAO RASO,18:57
104806,TERMINAL CAPAO RASO,19:15
105205,TERMINAL CIC/BOSCH VILA VERDE,19:30
170369,BAIRRO CARBOMAFRA,19:53
105212,TERMINAL CIC/SENT.CAPAO RASO,20:16
104806,TERMINAL CAPAO RASO,20:31
105205,TERMINAL CIC/BOSCH VILA VERDE,20:46
170369,BAIRRO CARBOMAFRA,21:09
105212,TERMINAL CIC/SENT.CAPAO RASO,21:32
104806,TERMINAL CAPAO RASO,21:47
105205,TERMINAL CIC/BOSCH VILA VERDE,22:02
170369,BAIRRO CARBOMAFRA,22:26
105212,TERMINAL CIC/SENT.CAPAO RASO,22:49
104806,TERMINAL CAPAO RASO,23:04
105205,TERMINAL CIC/BOSCH VILA VERDE,23:19
170369,BAIRRO CARBOMAFRA,23:41
105212,TERMINAL CIC/SENT.CAPAO RASO,00:04
104806,TERMINAL CAPAO RASO,00:19
105205,TERMINAL CIC/BOSCH VILA VERDE,00:34
