Linha,628
Tabela,002-2
num,ponto,horario
105212,TERMINAL CIC/SENT.CAPAO RASO,16:04
104806,TERMINAL CAPAO RASO,16:22
105205,TERMINAL CIC/BOSCH VILA VERDE,16:37
170369,BAIRRO CARBOMAFRA,17:01
105212,TERMINAL CIC/SENT.CAPAO RASO,17:30
104806,TERMINAL CAPAO RASO,17:48
105205,TERMINAL CIC/BOSCH VILA VERDE,18:02
170369,BAIRRO CARBOMAFRA,18:29
105212,TERMINAL CIC/SENT.CAPAO RASO,18:57
104806,TERMINAL CAPAO RASO,19:15
105205,TERMINAL CIC/BOSCH VILA VERDE,19:30
170369,BAIRRO CARBOMAFRA,19:53
105212,TERMINAL CIC/SENT.CAPAO RASO,20:16
104806,TERMINAL CAPAO RASO,20:31
105205,TERMINAL CIC/BOSCH VILA VERDE,20:46
170369,BAIRRO CARBOMAFRA,21:09
105212,TERMINAL CIC/SENT.CAPAO RASO,21:32
104806,TERMINAL CAPAO RASO,21:47
105205,TERMINAL CIC/BOSCH VILA VERDE,22:00
170369,BAIRRO CARBOMAFRA,22:21
105212,TERMINAL CIC/SENT.CAPAO RASO,22:44
104806,TERMINAL CAPAO RASO,22:59
105205,TERMINAL CIC/BOSCH VILA VERDE,23:12
170369,BAIRRO CARBOMAFRA,23:33
105212,TERMINAL CIC/SENT.CAPAO RASO,23:56
104806,TERMINAL CAPAO RASO,00:11
105205,TERMINAL CIC/BOSCH VILA VERDE,00:24
