Linha,545
Tabela,004
num,ponto,horario
105307,TERMINAL FAZENDINHA,05:00
106108,T.S.CERCADO SENT.BOQUEIRAO,05:42
104319,TERMINAL BOQUEIRAO,06:00
106114,T.S.CERCADO SENT.FAZENDINHA,06:12
105307,TERMINAL FAZENDINHA,06:50
106108,T.S.CERCADO SENT.BOQUEIRAO,07:33
104319,TERMINAL BOQUEIRAO,07:50
106114,T.S.CERCADO SENT.FAZENDINHA,08:05
105307,TERMINAL FAZENDINHA,08:50
106108,T.S.CERCADO SENT.BOQUEIRAO,09:35
104319,TERMINAL BOQUEIRAO,09:55
106114,T.S.CERCADO SENT.FAZENDINHA,10:10
105307,TERMINAL FAZENDINHA,10:55
106108,T.S.CERCADO SENT.BOQUEIRAO,11:40
104319,TERMINAL BOQUEIRAO,12:00
106114,T.S.CERCADO SENT.FAZENDINHA,12:15
105307,TERMINAL FAZENDINHA,13:00
106108,T.S.CERCADO SENT.BOQUEIRAO,13:45
104319,TERMINAL BOQUEIRAO,14:05
106114,T.S.CERCADO SENT.FAZENDINHA,14:20
105307,TERMINAL FAZENDINHA,15:05
106108,T.S.CERCADO SENT.BOQUEIRAO,16:00
104319,TERMINAL BOQUEIRAO,16:15
106114,T.S.CERCADO SENT.FAZENDINHA,16:30
105307,TERMINAL FAZENDINHA,17:15
106108,T.S.CERCADO SENT.BOQUEIRAO,18:00
104319,TERMINAL BOQUEIRAO,18:20
106114,T.S.CERCADO SENT.FAZENDINHA,18:38
105307,TERMINAL FAZENDINHA,19:25
106108,T.S.CERCADO SENT.BOQUEIRAO,20:05
104319,TERMINAL BOQUEIRAO,20:20
106114,T.S.CERCADO SENT.FAZENDINHA,20:38
105307,TERMINAL FAZENDINHA,21:13
106108,T.S.CERCADO SENT.BOQUEIRAO,21:50
104319,TERMINAL BOQUEIRAO,22:05
106114,T.S.CERCADO SENT.FAZENDINHA,22:18
105307,TERMINAL FAZENDINHA,23:00
106108,T.S.CERCADO SENT.BOQUEIRAO,23:37
104319,TERMINAL BOQUEIRAO,23:50
106114,T.S.CERCADO SENT.FAZENDINHA,00:05
