Linha,801
Tabela,004-2
num,ponto,horario
104507,TERMINAL CAMPINA DO SIQUEIRA,11:43
103502,PRACA ZACARIAS,12:13
104507,TERMINAL CAMPINA DO SIQUEIRA,12:38
103502,PRACA ZACARIAS,13:10
104507,TERMINAL CAMPINA DO SIQUEIRA,13:35
103502,PRACA ZACARIAS,14:03
104507,TERMINAL CAMPINA DO SIQUEIRA,14:29
103502,PRACA ZACARIAS,15:02
104507,TERMINAL CAMPINA DO SIQUEIRA,15:28
103502,PRACA ZACARIAS,16:00
104507,TERMINAL CAMPINA DO SIQUEIRA,16:28
103502,PRACA ZACARIAS,17:14
104507,TERMINAL CAMPINA DO SIQUEIRA,17:52
103502,PRACA ZACARIAS,18:34
