Linha,777
Tabela,001-2
num,ponto,horario
102009,PRACA RUI BARBOSA,16:37
180778,BAIRRO VILA VELHA,17:12
102009,PRACA RUI BARBOSA,17:52
180778,BAIRRO VILA VELHA,18:40
102009,PRACA RUI BARBOSA,19:19
180778,BAIRRO VILA VELHA,19:52
102009,PRACA RUI BARBOSA,20:26
180778,BAIRRO VILA VELHA,20:51
102009,PRACA RUI BARBOSA,21:19
180778,BAIRRO VILA VELHA,21:44
102009,PRACA RUI BARBOSA,22:10
180778,BAIRRO VILA VELHA,22:35
102009,PRACA RUI BARBOSA,23:01
180778,BAIRRO VILA VELHA,23:25
102009,PRACA RUI BARBOSA,23:50
180778,BAIRRO VILA VELHA,00:12
102009,PRACA RUI BARBOSA,00:35
