Linha,777
Tabela,002-2
num,ponto,horario
102009,PRACA RUI BARBOSA,17:15
180778,BAIRRO VILA VELHA,17:54
102009,PRACA RUI BARBOSA,18:36
180778,BAIRRO VILA VELHA,19:24
102009,PRACA RUI BARBOSA,20:00
180778,BAIRRO VILA VELHA,20:24
102009,PRACA RUI BARBOSA,20:53
180778,BAIRRO VILA VELHA,21:18
102009,PRACA RUI BARBOSA,21:45
180778,BAIRRO VILA VELHA,22:10
102009,PRACA RUI BARBOSA,22:36
180778,BAIRRO VILA VELHA,23:00
102009,PRACA RUI BARBOSA,23:26
180778,BAIRRO VILA VELHA,23:50
102009,PRACA RUI BARBOSA,00:14
