Linha,205
Tabela,003-2
num,ponto,horario
101161,TRAVESSA MOREIRA GARCEZ,16:17
104103,TERMINAL BARREIRINHA,16:47
101161,TRAVESSA MOREIRA GARCEZ,17:14
104103,TERMINAL BARREIRINHA,17:49
101161,TRAVESSA MOREIRA GARCEZ,18:17
104103,TERMINAL BARREIRINHA,18:52
101161,TRAVESSA MOREIRA GARCEZ,19:19
104103,TERMINAL BARREIRINHA,19:48
101161,TRAVESSA MOREIRA GARCEZ,20:16
104103,TERMINAL BARREIRINHA,20:44
101161,TRAVESSA MOREIRA GARCEZ,21:09
104103,TERMINAL BARREIRINHA,21:34
101161,TRAVESSA MOREIRA GARCEZ,21:54
104103,TERMINAL BARREIRINHA,22:18
101161,TRAVESSA MOREIRA GARCEZ,22:38
104103,TERMINAL BARREIRINHA,23:02
101161,TRAVESSA MOREIRA GARCEZ,23:22
104103,TERMINAL BARREIRINHA,23:45
101161,TRAVESSA MOREIRA GARCEZ,00:05
