Linha,380
Tabela,004-2
num,ponto,horario
101010,PRACA TIRADENTES,16:17
130971,BAIRRO DETRAN,16:49
103509,PRACA ZACARIAS,17:20
181018,BAIRRO VICENTE MACHADO,17:40
101010,PRACA TIRADENTES,18:04
130971,BAIRRO DETRAN,18:40
103509,PRACA ZACARIAS,19:11
181018,BAIRRO VICENTE MACHADO,19:31
101010,PRACA TIRADENTES,19:50
130971,BAIRRO DETRAN,20:27
103509,PRACA ZACARIAS,20:51
181018,BAIRRO VICENTE MACHADO,21:10
101010,PRACA TIRADENTES,21:27
130971,BAIRRO DETRAN,21:49
103509,PRACA ZACARIAS,22:13
181018,BAIRRO VICENTE MACHADO,22:31
101010,PRACA TIRADENTES,22:47
130971,BAIRRO DETRAN,23:09
103509,PRACA ZACARIAS,23:33
181018,BAIRRO VICENTE MACHADO,23:51
101010,PRACA TIRADENTES,00:08
