Linha,863
Tabela,002-2
num,ponto,horario
150938,BAIRRO AGUA VERDE,18:10
101017,PRACA TIRADENTES,18:34
150938,BAIRRO AGUA VERDE,19:00
101017,PRACA TIRADENTES,19:24
150938,BAIRRO AGUA VERDE,19:46
101017,PRACA TIRADENTES,20:10
150938,BAIRRO AGUA VERDE,20:32
101017,PRACA TIRADENTES,20:56
150938,BAIRRO AGUA VERDE,21:18
101017,PRACA TIRADENTES,21:42
150938,BAIRRO AGUA VERDE,22:04
101017,PRACA TIRADENTES,22:28
150938,BAIRRO AGUA VERDE,22:50
101017,PRACA TIRADENTES,23:14
150938,BAIRRO AGUA VERDE,23:36
101017,PRACA TIRADENTES,00:00
