Linha,506
Tabela,011-2
num,ponto,horario
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,17:31
109114,TERM.S.CERCADO(SENT.OSTERNACK),18:15
109038,TUBO OSTERNACK,18:28
109112,TERMINAL SITIO CERCADO,18:42
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,19:26
109114,TERM.S.CERCADO(SENT.OSTERNACK),20:07
109038,TUBO OSTERNACK,20:17
109112,TERMINAL SITIO CERCADO,20:28
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,21:06
109114,TERM.S.CERCADO(SENT.OSTERNACK),21:45
109038,TUBO OSTERNACK,21:57
109112,TERMINAL SITIO CERCADO,22:07
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,22:45
109114,TERM.S.CERCADO(SENT.OSTERNACK),23:23
109038,TUBO OSTERNACK,23:34
109112,TERMINAL SITIO CERCADO,23:44
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,00:20
109114,TERM.S.CERCADO(SENT.OSTERNACK),00:55
