Linha,030
Tabela,011
num,ponto,horario
104907,TERMINAL CARMO (SENT. C.RASO),05:22
104815,TERMINAL CAPAO RASO,05:48
104905,TERMINAL CARMO (SENT.OFICINAS),06:20
105606,TERMINAL OFICINAS(SENT.B.ALTO),06:52
104006,TERM.BAIRRO ALTO (SENT.S.CAND),07:18
105907,TERMINAL SANTA CANDIDA,07:39
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),08:01
105603,TERMINAL OFICINAS (SENT.CARMO),08:27
104907,TERMINAL CARMO (SENT. C.RASO),08:57
104815,TERMINAL CAPAO RASO,09:25
104905,TERMINAL CARMO (SENT.OFICINAS),09:55
105606,TERMINAL OFICINAS(SENT.B.ALTO),10:27
104006,TERM.BAIRRO ALTO (SENT.S.CAND),10:49
105907,TERMINAL SANTA CANDIDA,11:09
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),11:31
105603,TERMINAL OFICINAS (SENT.CARMO),11:57
104907,TERMINAL CARMO (SENT. C.RASO),12:27
104815,TERMINAL CAPAO RASO,12:55
104905,TERMINAL CARMO (SENT.OFICINAS),13:25
105606,TERMINAL OFICINAS(SENT.B.ALTO),13:57
104006,TERM.BAIRRO ALTO (SENT.S.CAND),14:19
105907,TERMINAL SANTA CANDIDA,14:39
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),15:01
105603,TERMINAL OFICINAS (SENT.CARMO),15:27
104907,TERMINAL CARMO (SENT. C.RASO),15:57
104815,TERMINAL CAPAO RASO,16:27
104905,TERMINAL CARMO (SENT.OFICINAS),17:01
105606,TERMINAL OFICINAS(SENT.B.ALTO),17:35
104006,TERM.BAIRRO ALTO (SENT.S.CAND),18:00
105907,TERMINAL SANTA CANDIDA,18:23
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),18:47
105603,TERMINAL OFICINAS (SENT.CARMO),19:13
104907,TERMINAL CARMO (SENT. C.RASO),19:43
