Linha,030
Tabela,015-2
num,ponto,horario
104905,TERMINAL CARMO (SENT.OFICINAS),16:19
105606,TERMINAL OFICINAS(SENT.B.ALTO),16:53
104006,TERM.BAIRRO ALTO (SENT.S.CAND),17:18
105907,TERMINAL SANTA CANDIDA,17:41
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),18:05
105603,TERMINAL OFICINAS (SENT.CARMO),18:31
104907,TERMINAL CARMO (SENT. C.RASO),19:01
104815,TERMINAL CAPAO RASO,19:33
104905,TERMINAL CARMO (SENT.OFICINAS),20:04
105606,TERMINAL OFICINAS(SENT.B.ALTO),20:31
104006,TERM.BAIRRO ALTO (SENT.S.CAND),20:52
105907,TERMINAL SANTA CANDIDA,21:11
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),21:31
105603,TERMINAL OFICINAS (SENT.CARMO),21:55
104907,TERMINAL CARMO (SENT. C.RASO),22:23
104815,TERMINAL CAPAO RASO,22:47
104905,TERMINAL CARMO (SENT.OFICINAS),23:15
105606,TERMINAL OFICINAS(SENT.B.ALTO),23:43
104006,TERM.BAIRRO ALTO (SENT.S.CAND),00:03
105907,TERMINAL SANTA CANDIDA,00:23
