Linha,030
Tabela,005-2
num,ponto,horario
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),16:08
105603,TERMINAL OFICINAS (SENT.CARMO),16:35
104907,TERMINAL CARMO (SENT. C.RASO),17:07
104815,TERMINAL CAPAO RASO,17:37
104905,TERMINAL CARMO (SENT.OFICINAS),18:13
105606,TERMINAL OFICINAS(SENT.B.ALTO),18:47
104006,TERM.BAIRRO ALTO (SENT.S.CAND),19:12
105907,TERMINAL SANTA CANDIDA,19:35
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),19:55
105603,TERMINAL OFICINAS (SENT.CARMO),20:19
104907,TERMINAL CARMO (SENT. C.RASO),20:49
104815,TERMINAL CAPAO RASO,21:09
104905,TERMINAL CARMO (SENT.OFICINAS),21:38
105606,TERMINAL OFICINAS(SENT.B.ALTO),22:07
104006,TERM.BAIRRO ALTO (SENT.S.CAND),22:29
105907,TERMINAL SANTA CANDIDA,22:47
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),23:07
105603,TERMINAL OFICINAS (SENT.CARMO),23:31
104907,TERMINAL CARMO (SENT. C.RASO),23:59
104815,TERMINAL CAPAO RASO,00:21
