Linha,030
Tabela,009-2
num,ponto,horario
104815,TERMINAL CAPAO RASO,16:13
104905,TERMINAL CARMO (SENT.OFICINAS),16:47
105606,TERMINAL OFICINAS(SENT.B.ALTO),17:21
104006,TERM.BAIRRO ALTO (SENT.S.CAND),17:46
105907,TERMINAL SANTA CANDIDA,18:09
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),18:33
105603,TERMINAL OFICINAS (SENT.CARMO),18:59
104907,TERMINAL CARMO (SENT. C.RASO),19:29
104815,TERMINAL CAPAO RASO,20:03
104905,TERMINAL CARMO (SENT.OFICINAS),20:32
105606,TERMINAL OFICINAS(SENT.B.ALTO),21:03
104006,TERM.BAIRRO ALTO (SENT.S.CAND),21:23
105907,TERMINAL SANTA CANDIDA,21:43
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),22:03
105603,TERMINAL OFICINAS (SENT.CARMO),22:27
104907,TERMINAL CARMO (SENT. C.RASO),22:55
104815,TERMINAL CAPAO RASO,23:19
104905,TERMINAL CARMO (SENT.OFICINAS),23:47
105606,TERMINAL OFICINAS(SENT.B.ALTO),00:15
104006,TERM.BAIRRO ALTO (SENT.S.CAND),00:33
